self-learning personalized recommender system,7,"Sentiment: Positive, Product: Self-learning Personalized Recommender System, Context: N/A, Category: Technology"
no,1,"Sentiment: Positive, Product: Minimalistic Furniture, Context: Interior Design, Category: Home Decor"
I'll try to make a machine that can help in fighting against lack of food in the world,19,"Sentiment: Positive, Product: Machine, Context: Fighting against lack of food in world, Category: Technology"
Cancer detection,3,"is the first step towards successful treatment.

Sentiment: Positive, Product: Cancer Detection, Context: First Step Towards Successful Treatment, Category: Health"
Healthcare,2,"product, healthwatch, which is released by xyz company, has been receiving a lot of positive reviews

Sentiment: Positive, Product: Healthwatch, Context: Released By XYZ Company, Category: Healthcare"
deep learning applied to games,5,"Sentiment: Positive, Product: Games, Context: Deep Learning, Category: Application"
Scientific Research,3,"in Seedling Growth

Sentiment,Negative,Research in Seedling Growth,Scientific Research,Growth"
online behavior research,3,"Sentiment: Positive, Product: Online Behavior Research, Context: Research, Category: Online"
opening my mouth and sharing my best ideas would be very stupid.  ,15,"Sentiment: Negative, Product: None, Context: Sharing Ideas, Category: None"
Emvironmental science,4,"is the study of natural world, including how humans interact with it.

Sentiment: neutral, Product: None, Context: Natural World, Category: Environmental Science"
Deep learning,2,"sentiment analysis of online reviews

Sentiment: Positive, Product: Online Reviews, Context: Deep Learning, Category: Sentiment Analysis"
Biological problems,3,"can have a negative effect on mental health

Sentiment: Negative, Product: None, Context: Biological problems, Category: Mental Health"
"Prediction of people performance from Big Five Inventory test, age, gender and education as predictor.",19,"Sentiment: None, Product: Big Five Inventory test, Context: Prediction of people performance, Category: Age, Gender, Education"
"NLP related tasks, for instance text generation",9,"Sentiment:neutral, Product:NLP related tasks, Context:text generation, Category:none"
Making UMS intelligent,4,"to monitor and keep a check on the network issues

Sentiment:positive,Product:UMS,Context:monitoring,Category:network issue"
improve education of mankind,4,"Sentiment: Positive, Product: Education, Context: Mankind, Category: Improvement"
The natural language processing,4,"library is amazing

Sentiment:amazing,Product:natural language processing library,Context:,Category:"
Financial markets,2,"are uncertain in the wake of Brexit

Sentiment: Uncertain, Product: Financial Markets, Context: Brexit, Category: None"
Disease problemns,5,"can result in significant physical and emotional challenges,

Sentiment:  Negative, Product: N/A, Context: Disease Problems, Category: Physical and Emotional Challenges"
Early recognition of seizures and addiction relapse via ML algorithms deployed on a wearable device that tracks bio markers.,20,"Sentiment: None, Product: Wearable Device, Context: Seizure and Addiction Relapse, Category: ML Algorithms"
